index,Name,published,type,downloads,onlineTime,steamRate,steamComments,24h Peak,All-Time Peak,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,VPR
835,Iron Harvest,2020/9/1,Strategy,141000,05:28 (05:05),71%,"2,432",503,"5,791",0,0,0,0,0,0,0,0.0,0,0,0.0
836,Kingdoms and Castles,2017/7/20,Strategy,1102000,00:01 (00:00),90%,"14,156",503,"4,856",0,0,0,0,0,0,0,0.0,0,0,0.0
837,Spelunky,2013/8/8,Others,1121000,00:15 (00:05),92%,"11,460",502,"2,919",0,0,0,0,0,0,0,0.0,0,0,0.0
838,WAKFU,2014/9/18,Rpg,1511000,00:00 (00:00),77%,"7,354",502,"4,078",0,0,0,0,0,0,0,0.0,0,0,0.0
839,Protoshift,2016/1/15,Action,18818,00:00 (00:2818),82%,34,501,"2,546",0,0,0,0,0,0,0,0.0,0,0,0.0
840,The Infected,2020/8/7,Action,28000,00:00 (00:00),88%,634,500,629,0,0,0,0,0,0,0,0.0,0,0,0.0
841,NBA 2K18,2017/9/14,Sports,1467000,00:00 (00:00),28%,"14,693",500,"25,432",0,0,0,0,0,0,0,0.0,0,0,0.0
843,MotoGP20,2020/4/23,Simulation,55000,00:00 (00:00),89%,941,498,"1,660",0,0,0,0,0,0,0,0.0,0,0,0.0
844,Rakion Chaos Force,2020/3/24,Rpg,558000,00:00 (00:00),59%,"2,532",497,"5,740",0,0,0,0,0,0,0,0.0,0,0,0.0
845,Quick Slick Deadly,2015/9/21,Rpg,20000,00:00 (00:00),61%,18,497,"3,010",0,0,0,0,0,0,0,0.0,0,0,0.0
846,Shadow Tactics: Blades of the Shogun,2016/12/6,Strategy,985000,00:00 (00:00),96%,"15,830",496,"4,663",0,0,0,0,0,0,0,0.0,0,0,0.0
847,Airport CEO,2017/9/28,Strategy,249000,11:22 (05:41),83%,"3,692",495,"2,745",0,0,0,0,0,0,0,0.0,0,0,0.0
848,S.T.A.L.K.E.R.: Call of Pripyat,2010/2/11,Rpg,1367000,00:01 (00:00),96%,"11,999",495,"1,359",1977780,32760,6392,21,118,457,7,60.37,552,31280,57.28937729
849,Sven Co-op,1999/1/19,Action,2272000,01:17 (00:25),92%,"18,465",494,"6,572",0,0,0,0,0,0,0,0.0,0,0,0.0
850,Revenge of Roger Rouge,2016/4/22,Action,24000,00:00 (00:00),66%,18,494,"2,679",0,0,0,0,0,0,0,0.0,0,0,0.0
851,Ancestors: The Humankind Odyssey,2020/8/27,Rpg,62000,00:00 (00:00),77%,"1,633",494,"3,334",0,0,0,0,0,0,0,0.0,0,0,0.0
852,The Jackbox Party Pack 3,2016/10/17,Strategy,825000,00:01 (00:00),96%,"2,299",492,"10,972",0,0,0,0,0,0,0,0.0,0,0,0.0
853,WtBoy,2017/7/26,Others,19527,00:00 (00:3527),58%,12,492,"2,968",0,0,0,0,0,0,0,0.0,0,0,0.0
854,Dungeons 3,2017/10/13,Strategy,374000,00:00 (00:00),94%,"9,881",492,"3,289",0,0,0,0,0,0,0,0.0,0,0,0.0
855,Wizard of Legend,2018/5/15,Action,845000,00:00 (00:00),92%,"9,093",492,"6,487",0,0,0,0,0,0,0,0.0,0,0,0.0
856,RYAN BLACK,2017/1/14,Action,73000,00:00 (00:00),32%,25,491,"3,660",0,0,0,0,0,0,0,0.0,0,0,0.0
857,Sands of Salzaar,2020/1/2,Rpg,758000,01:02 (00:31),88%,"11,637",491,"21,047",0,0,0,0,0,0,0,0.0,0,0,0.0
858,Quake Live,2010/8/6,Action,2798000,00:00 (00:00),85%,"2,341",490,"6,154",0,0,0,0,0,0,0,0.0,0,0,0.0
859,Master of Orion,2016/2/26,Strategy,534000,00:00 (00:00),73%,"5,004",490,"4,852",0,0,0,0,0,0,0,0.0,0,0,0.0
860,Trailer Park Boys: Greasy Money,2018/2/15,Simulation,199000,00:00 (00:00),79%,898,489,"1,113",0,0,0,0,0,0,0,0.0,0,0,0.0
861,ONE PIECE: PIRATE WARRIORS 4,2020/3/26,Action,97000,04:46 (02:23),89%,"3,376",489,"9,219",0,0,0,0,0,0,0,0.0,0,0,0.0
862,Cosmic Rocket Defender,2015/7/17,Action,22000,00:00 (00:00),75%,12,489,"3,703",0,0,0,0,0,0,0,0.0,0,0,0.0
866,Supreme Commander 2,2010/3/1,Strategy,1363000,00:00 (00:00),86%,"5,223",486,"3,730",0,0,0,0,0,0,0,0.0,0,0,0.0
867,Hellphobia,2017/1/16,Action,46000,00:00 (00:00),,,486,"3,130",0,0,0,0,0,0,0,0.0,0,0,0.0
868,The Renegades of Orion 2.0,2016/2/22,Action,34000,00:00 (00:00),52%,34,485,"2,444",0,0,0,0,0,0,0,0.0,0,0,0.0
869,America's Army: Proving Grounds,2015/10/1,Action,2524000,00:00 (00:00),78%,"9,467",484,"3,073",0,0,0,0,0,0,0,0.0,0,0,0.0
870,Skul: The Hero Slayer,2020/2/19,Action,262000,00:00 (00:00),92%,"6,663",484,"3,608",0,0,0,0,0,0,0,0.0,0,0,0.0
871,Chronicon,2020/8/21,Rpg,566000,00:00 (00:00),96%,"3,915",484,"4,868",0,0,0,0,0,0,0,0.0,0,0,0.0
872,Urizen Shadows of the Cold Deluxe Frosty Edition,2018/5/28,Action,87000,00:00 (00:00),,,483,"2,419",0,0,0,0,0,0,0,0.0,0,0,0.0
873,Gothic 3,2009/12/2,Rpg,716000,00:00 (00:00),80%,"4,502",482,915,0,0,0,0,0,0,0,0.0,0,0,0.0
874,Vampyr,2018/6/4,Rpg,395000,00:00 (00:00),74%,"9,208",482,"16,120",457260,61980,1176,29,251,105,14,7.38,193,16980,16.4375605
876,Battlefleet Gothic: Armada 2,2019/1/24,Strategy,193000,00:00 (00:00),80%,"4,413",480,"8,960",0,0,0,0,0,0,0,0.0,0,0,0.0
877,Broforce,2015/10/15,Action,2182000,01:11 (00:47),97%,"31,728",479,"3,988",0,0,0,0,0,0,0,0.0,0,0,0.0
879,Parallels Cross,2016/3/30,Adventure,48000,00:00 (00:00),66%,24,478,"4,587",0,0,0,0,0,0,0,0.0,0,0,0.0
880,Mafia II (Classic),2011/3/22,Action,3111000,00:00 (00:00),94%,"25,421",478,"29,474",0,0,0,0,0,0,0,0.0,0,0,0.0
881,Stationeers,2017/12/12,Action,178000,00:00 (00:00),82%,"2,520",477,991,0,0,0,0,0,0,0,0.0,0,0,0.0
883,Fisher Online,2019/10/27,Simulation,43000,00:00 (00:00),90%,"1,426",476,"1,954",0,0,0,0,0,0,0,0.0,0,0,0.0
884,Crappy Day Enhanced Edition,2017/5/10,Adventure,32000,00:00 (00:00),,,475,"3,510",0,0,0,0,0,0,0,0.0,0,0,0.0
885,RIDE 4,2020/10/8,Sports,29000,26:52 (13:26),62%,689,473,"1,820",0,0,0,0,0,0,0,0.0,0,0,0.0
